date,home_team,away_team,team,scorer,minute,own_goal,penalty
1922-08-10,Argentina,Uruguay,Uruguay,Felipe Buffoni,43.0,False,False
1922-12-10,Paraguay,Uruguay,Paraguay,Carlos Elizeche,7.0,False,False
,Brasil,Argentina,Brasil,Neco,42.0,False,False
,Brasil,Argentina,Brasil,Amílcar Barbuy,86.0,False,False
,Argentina,Paraguay,Argentina,Julio Francia,63.0,False,False
,Argentina,Paraguay,Argentina,Julio Francia,79.0,False,False
1922-06-11,Brasil,Paraguay,Brasil,Neco,11.0,False,False
1922-06-11,Brasil,Paraguay,Brasil,Xavier Camargo,48.0,False,False
1922-06-11,Brasil,Paraguay,Brasil,Xavier Camargo,89.0,False,False
,Argentina,Paraguay,Paraguay,Gerardo Rivas,10.0,False,False
,Argentina,Paraguay,Argentina,Blas Saruppo,18.0,False,False
,Argentina,Paraguay,Paraguay,Agustín Zelada,49.0,False,False
,Argentina,Paraguay,Argentina,Vicente Aguirre,58.0,False,False
,Argentina,Paraguay,Paraguay,Luis Fretes,65.0,False,False
,Argentina,Paraguay,Argentina,Vicente Aguirre,77.0,False,False
,Argentina,Paraguay,Argentina,Vicente Aguirre,86.0,False,False
1923-04-11,Uruguay,Paraguay,Uruguay,Héctor Scarone,11.0,False,False
1923-04-11,Uruguay,Paraguay,Uruguay,Pedro Petrone,87.0,False,False
1923-11-11,Brasil,Paraguay,Paraguay,Ildefonso López,56.0,False,False
,Argentina,Brasil,Argentina,Cesáreo Onzari,11.0,False,False
,Argentina,Brasil,Brasil,Nilo Braga,15.0,False,False
,Argentina,Brasil,Argentina,Blas Saruppo,76.0,False,False
,Uruguay,Brasil,Uruguay,Pedro Petrone,56.0,False,False
,Uruguay,Brasil,Brasil,Nilo Braga,59.0,False,False
,Uruguay,Brasil,Uruguay,José Cea,75.0,False,False
1923-02-12,Uruguay,Argentina,Uruguay,Pedro Petrone,28.0,False,False
1923-02-12,Uruguay,Argentina,Uruguay,Pascual Somma,88.0,False,False
,Czechoslovakia,Turquía,Turquía,Bekir Refet,63.0,False,False
,Czechoslovakia,Turquía,Turquía,Bekir Refet,82.0,False,False
,Suiza,Lithuania,Suiza,Paul Sturzenegger,2.0,False,False
,Suiza,Lithuania,Suiza,Walter Dietrich,14.0,False,False
,Suiza,Lithuania,Suiza,Max Abegglen,41.0,False,False
,Suiza,Lithuania,Suiza,Paul Sturzenegger,43.0,False,False
,Suiza,Lithuania,Suiza,Max Abegglen,50.0,False,False
,Suiza,Lithuania,Suiza,Max Abegglen,58.0,False,False
,Suiza,Lithuania,Suiza,Rudolf Ramseyer,63.0,False,False
,Suiza,Lithuania,Suiza,Paul Sturzenegger,68.0,False,False
,Suiza,Lithuania,Suiza,Paul Sturzenegger,85.0,False,False
,Estados Unidos,Estonia,Estados Unidos,Andy Straden,15.0,False,False
,Uruguay,Yugoslavia,Uruguay,José Vidal,20.0,False,False
,Uruguay,Yugoslavia,Uruguay,Héctor Scarone,23.0,False,False
,Uruguay,Yugoslavia,Uruguay,Pedro Petrone,35.0,False,False
,Uruguay,Yugoslavia,Uruguay,Pedro Cea,50.0,False,False
,Uruguay,Yugoslavia,Uruguay,Ángel Romano,58.0,False,False
,Uruguay,Yugoslavia,Uruguay,Pedro Petrone,61.0,False,False
,Uruguay,Yugoslavia,Uruguay,Pedro Cea,80.0,False,False
,Francia,Latvia,Francia,Édouard Crut,17.0,False,False
,Francia,Latvia,Francia,Paul Nicolas,25.0,False,False
,Francia,Latvia,Francia,Édouard Crut,28.0,False,False
,Francia,Latvia,Francia,Paul Nicolas,50.0,False,False
,Francia,Latvia,Francia,Édouard Crut,55.0,False,False
,Francia,Latvia,Francia,Jean Boyer,71.0,False,False
,Francia,Latvia,Francia,Jean Boyer,87.0,False,False
,Países Bajos,Romania,Países Bajos,Albert Hurgronje,8.0,False,False
